object_id,canonical_label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
machine_1,Machine,LGBM baseline,5.0,414,0.2307484618566358,0.2724536259690513,0.3057111182696445,0.3623116524238403,-0.28165252959102494,0.6173908197031319,,
machine_1,Machine,LGBM baseline,10.0,428,0.25466149801650634,0.26381548342852484,0.3500071589707567,0.41963755693041105,-0.3135265357866726,0.7377836001923813,,
machine_1,Machine,LGBM tuned,5.0,414,0.12029761799278624,0.15015079792921782,0.23383888977318268,0.29803953776208736,-0.38667917502331045,0.5080617885806513,,
machine_1,Machine,LGBM tuned,10.0,428,0.1645277247784991,0.1624959524094489,0.29561968464867855,0.3782178991707319,-0.439480934665967,0.7096025839866366,,
machine_1,Machine,XGBoost baseline,5.0,414,0.2161486285689348,0.24684636785888608,0.2933235966732006,0.3508539712332873,-0.3062154662109369,0.5780351930541996,1.9433954420289856,0.9444444444444444
machine_1,Machine,XGBoost baseline,10.0,428,0.23837942027838865,0.24870050018310505,0.34772132898975966,0.41563557715098964,-0.39915631997070444,0.7142695515136711,1.1794089228971965,0.7242990654205608
machine_1,Machine,XGBoost tuned,5.0,414,0.11436740543767206,0.125541803894043,0.22726270394027634,0.30007270942950487,-0.39128880865478466,0.5760186544799817,1.5230587487922707,0.9516908212560387
machine_1,Machine,XGBoost tuned,10.0,428,0.19777393316792985,0.19932973736572274,0.3185616127008455,0.3932841794202238,-0.41940916575927784,0.7280408145385745,1.7541971495327102,0.9299065420560748
machine_2,Machine,LGBM baseline,5.0,1426,0.05722799422206809,0.1508166541988522,0.2890561502589252,0.41230658079390997,-0.7670005033267415,0.4787865200654702,,
machine_2,Machine,LGBM baseline,10.0,1408,0.06294314599125977,0.15458273493884886,0.3102618040317165,0.44036857467290214,-0.7922350915083758,0.5076408950153681,,
machine_2,Machine,LGBM tuned,5.0,1426,0.034502682312695626,0.1061524094868886,0.2760654445297538,0.4062872620827492,-0.6950488335762159,0.4892902255631615,,
