split,object_id,canonical_label,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
test,cableduct_4,Cableduct,20.0,1250,0.4259847770610479,0.5758402108301927,0.18411703927112977,-0.0773567287359377,1.9088452337142179,0.9208
test,cableduct_4,Cableduct,30.0,1208,0.4686812497871844,0.6702004843297305,0.10076015614653155,-0.11667729069559327,1.9466668932324138,0.9056291390728477
test,cableduct_4,Cableduct,45.0,1160,0.5042084573334832,0.7326690019439575,0.046507848387803086,-0.157521294922152,1.9601529601894252,0.8827586206896552
test,cableduct_4,Cableduct,60.0,1111,0.5158234503567832,0.7604818200317723,0.020495916069990683,-0.17413696738746406,2.025531198078996,0.8757875787578758
test,cableduct_4,Cableduct,90.0,1029,0.49215696639378065,0.705726274101685,-0.0022746656548802147,-0.17768193626937503,2.109554757743823,0.9164237123420796
test,cableduct_4,Cableduct,120.0,956,0.5222420236517268,0.7683158374187056,-0.015012857069263585,-0.2317643826486231,2.159864778325007,0.9225941422594143
test,machine_2,Machine,5.0,1139,0.8977786116509928,1.2405607514083294,0.39036469068283974,-0.7381459787612098,1.9144853650688252,0.6505706760316067
test,machine_2,Machine,10.0,1166,0.9246390026667595,1.2649876859319165,0.36966147960317297,-0.7736588001021808,1.9177348735062323,0.6415094339622641
test,machine_2,Machine,15.0,1153,0.9426529004980658,1.2843232398202,0.3636217364906795,-0.7704850122857199,1.9419421107440569,0.6175195143104943
test,machine_2,Machine,20.0,1141,0.9520640201342446,1.3067790064665061,0.3373144956581575,-0.7882773588719203,1.9458880248588897,0.6257668711656442
test,machine_2,Machine,30.0,1117,1.0015593876625544,1.3582311905479862,0.2644371669702229,-0.8607997304207796,1.9430668852603712,0.6159355416293644
test,machine_2,Machine,45.0,1060,1.0954137591478317,1.481216387634415,0.1727062628116085,-0.971131841517941,1.9404152550002804,0.6169811320754717
test,machine_2,Machine,60.0,1008,1.1376953753817338,1.5290374137355944,0.09563043334513421,-0.999331931878034,1.9628801989602367,0.6378968253968254
test,machine_2,Machine,90.0,957,1.096995185002994,1.4940785869673088,0.1245996221894684,-0.9083280407229966,2.0361533682310027,0.6342737722048067
test,machine_2,Machine,120.0,912,1.1779822724470588,1.5698412299159084,0.09555335674240095,-0.9167070206240215,2.0607506525978305,0.5953947368421053
test,machine_4,Machine,5.0,34,1.1348082618132918,1.4370754099242755,-0.06563075405674712,-0.46664491375542444,1.2941637139055067,0.4411764705882353
test,machine_4,Machine,10.0,30,0.9822164557787068,1.2372135083179026,0.01937526156404379,-0.16026053193662015,0.9605905416577009,0.3
