canonical_label,feature,importance
Window,temp_lag_1,141
Window,temp_lag_8,136
Window,temp_lag_10,136
Window,temp_lag_17,135
Window,temp_lag_12,133
Window,temp_lag_4,132
Window,temp_lag_21,132
Window,temp_lag_26,130
Window,temp_lag_5,129
Window,temp_lag_19,129
Window,temp_lag_14,118
Window,temp_lag_25,118
Window,temp_lag_3,114
Window,temp_lag_6,114
Window,temp_lag_11,113
Window,temp_lag_29,113
Window,temp_lag_7,111
Window,temp_lag_20,111
Window,temp_lag_13,108
Window,nearest_person_dy,103
Window,temp_lag_24,100
Window,seconds_since_previous,100
Window,temp_lag_27,98
Window,temp_roll_mean_20,95
Window,temp_delta_1,89
Window,temp_lag_22,86
Window,temp_roll_mean_10,84
Window,temp_lag_28,82
Window,nearest_person_distance,80
Window,temp_lag_2,76
Window,temp_lag_9,74
Window,temp_lag_23,62
Window,nearest_person_dx,56
Window,mean_person_distance,54
Window,requested_horizon_min,48
Window,day_of_week,36
Window,people_count_total,3
Window,object_id,0
Window,canonical_label,0
Window,display_x,0
Window,display_y,0
Window,anchor_x,0
Window,anchor_y,0
Window,people_count_within_1m,0
Window,people_count_within_2m,0
Window,people_count_within_3m,0
Window,observations_in_frame,0
