number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
30,0.5734416015000664,2026-05-27 00:44:35.915681,2026-05-27 00:44:38.128628,0 days 00:00:02.212947,0.7337219366496494,0.06021772575769189,4,9.842917394037656,0.7311646613798297,64,0.4369798442574096,0.45697769161700197,COMPLETE
31,0.5649670332883497,2026-05-27 00:44:38.128676,2026-05-27 00:44:41.690394,0 days 00:00:03.561718,0.6474174735411351,0.03460599713327762,3,5.792475702033534,0.6656821877439228,184,0.42553168143799114,0.4729091318773896,COMPLETE
32,0.5700344650824284,2026-05-27 00:44:41.690442,2026-05-27 00:44:45.253797,0 days 00:00:03.563355,0.6447920494852415,0.034765523878958,3,5.9049385588631225,0.6781728311846598,182,0.43159375743675776,0.46341131864323337,COMPLETE
33,0.5831423072715243,2026-05-27 00:44:45.253846,2026-05-27 00:44:47.817898,0 days 00:00:02.564052,0.6948036163205431,0.07278743209622243,4,7.6696077747840485,0.764071431540691,51,0.4453101798576048,0.4384500664177774,COMPLETE
34,0.5626116875304248,2026-05-27 00:44:47.817942,2026-05-27 00:44:49.635565,0 days 00:00:01.817623,0.6025738812493852,0.055263950574870414,4,4.754873737719603,0.7077284888080881,68,0.4199644054512868,0.4772948510489997,COMPLETE
35,0.5755000772087574,2026-05-27 00:44:49.635605,2026-05-27 00:44:51.470351,0 days 00:00:01.834746,0.6091238861389511,0.05668539590213738,4,6.239788758553534,0.7099217299794961,69,0.4343862678870059,0.45307213436097393,COMPLETE
36,0.6103801482699862,2026-05-27 00:44:51.470430,2026-05-27 00:44:53.546876,0 days 00:00:02.076446,0.6699434864678281,0.0679281502579833,5,4.880851099489685,0.7509979402430563,49,0.4765361136020189,0.3847663525008864,COMPLETE
37,0.5751484045741044,2026-05-27 00:44:53.546917,2026-05-27 00:45:03.205920,0 days 00:00:09.659003,0.7206604302749544,0.005129451143341774,4,7.386361132651982,0.7807879479190334,699,0.4394587202949085,0.45374035598011675,COMPLETE
38,0.5693597089075185,2026-05-27 00:45:03.205969,2026-05-27 00:45:07.121080,0 days 00:00:03.915111,0.6006115626957517,0.01525836371372623,3,10.94242378715772,0.7956151320617089,284,0.43160989026958085,0.46468089884302244,COMPLETE
39,0.6604607895567706,2026-05-27 00:45:07.121120,2026-05-27 00:45:10.060103,0 days 00:00:02.938983,0.9050263264243316,0.03478727168428226,7,8.409020014896072,0.8660698517703787,100,0.5113426592024661,0.2796669235537017,COMPLETE
40,0.5703715155203031,2026-05-27 00:45:10.060144,2026-05-27 00:45:11.954985,0 days 00:00:01.894841,0.6538107422098735,0.05075732337363553,4,3.6062221974956215,0.6656297788370893,79,0.43327082659601895,0.46277658186901705,COMPLETE
41,0.5576374959507652,2026-05-27 00:45:11.955028,2026-05-27 00:45:13.974147,0 days 00:00:02.019119,0.6260423521410341,0.07308623105480647,3,4.812697463759088,0.6329901547633111,79,0.4164351378758749,0.4864967280219401,COMPLETE
42,0.560788325764218,2026-05-27 00:45:13.974189,2026-05-27 00:45:15.919013,0 days 00:00:01.944824,0.620244772746997,0.06908912893082823,3,4.646760168060337,0.6385621743293749,98,0.42150168738500554,0.48067741913537043,COMPLETE
43,0.5638262412395143,2026-05-27 00:45:15.919056,2026-05-27 00:45:17.880060,0 days 00:00:01.961004,0.6183938424030468,0.0682368634727744,3,4.5796887680162595,0.704128328026808,99,0.42411373089032883,0.4750356063679847,COMPLETE
44,0.5644186946151765,2026-05-27 00:45:17.880101,2026-05-27 00:45:19.922649,0 days 00:00:02.042548,0.6211592812579221,0.06623735631256607,3,4.5563217423804945,0.7447528948227542,109,0.4243009349417742,0.4739317899492378,COMPLETE
45,0.5707159725987493,2026-05-27 00:45:19.922701,2026-05-27 00:45:21.495280,0 days 00:00:01.572579,0.6168741378209225,0.0706257698975682,4,4.529008918524435,0.7377036869666169,49,0.4339976156414679,0.46212750918010037,COMPLETE
46,0.5619176093309316,2026-05-27 00:45:21.495320,2026-05-27 00:45:23.669940,0 days 00:00:02.174620,0.6202517459352079,0.060063201167445006,3,3.7487785443430868,0.7078571406779994,92,0.42157238945936887,0.4785837487725737,COMPLETE
47,0.5602872753361183,2026-05-27 00:45:23.669983,2026-05-27 00:45:25.413122,0 days 00:00:01.743139,0.6270698058741966,0.059868244114032416,3,3.7393993083357184,0.7044177431578484,71,0.4201984853256379,0.48160500819299,COMPLETE
48,0.6693705063463402,2026-05-27 00:45:25.413162,2026-05-27 00:45:28.515413,0 days 00:00:03.102251,0.9993134344664013,0.04913594057391381,8,3.7496218539166803,0.8209099792357878,72,0.5114345990072996,0.26010102816032876,COMPLETE
49,0.5652950124554433,2026-05-27 00:45:28.515452,2026-05-27 00:45:30.206122,0 days 00:00:01.690670,0.6330424268079451,0.056974269625023666,3,1.0924012683057538,0.6391093273791382,70,0.4249528565023083,0.47229697225370815,COMPLETE
