number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
15,0.5735437420846365,2026-05-27 00:52:19.951909,2026-05-27 00:52:23.473741,0 days 00:00:03.521832,0.03238793743565482,10,171,69,4.398394644307883,127,0.43249611010567396,0.45678422970037036,COMPLETE
16,0.5644820917288728,2026-05-27 00:52:23.473978,2026-05-27 00:52:26.543841,0 days 00:00:03.069863,0.03107800378176336,9,200,66,0.006031903758378869,135,0.4249610353228665,0.47381360435583353,COMPLETE
17,0.5735515659240996,2026-05-27 00:52:26.543890,2026-05-27 00:52:29.910639,0 days 00:00:03.366749,0.01422873355512095,10,200,43,0.002971044665199841,279,0.433093199232252,0.45676940934175914,COMPLETE
18,0.568008177341979,2026-05-27 00:52:29.910676,2026-05-27 00:52:31.738629,0 days 00:00:01.827953,0.041490712109216135,8,174,74,0.0067704577480804905,99,0.4273178199683913,0.46721933610097266,COMPLETE
19,0.5757405096872743,2026-05-27 00:52:31.738668,2026-05-27 00:52:33.815047,0 days 00:00:02.076379,0.02811985974869723,11,190,46,1.0625640627132025,132,0.4376037355723969,0.45261504774572114,COMPLETE
20,0.5762714596794631,2026-05-27 00:52:33.815086,2026-05-27 00:52:37.888147,0 days 00:00:04.073061,0.014427136732192309,8,71,74,0.0009697018415575191,278,0.43578454496041874,0.4516049814289901,COMPLETE
21,0.5664369272093862,2026-05-27 00:52:37.888185,2026-05-27 00:52:40.233756,0 days 00:00:02.345571,0.028030147222379814,9,165,66,0.7015508850944255,139,0.42557656436562613,0.4701628635578219,COMPLETE
22,0.5687121414721426,2026-05-27 00:52:40.233794,2026-05-27 00:52:43.214884,0 days 00:00:02.981090,0.027906392383355988,9,158,61,0.013212529373252556,137,0.428431965160345,0.46589790832223044,COMPLETE
23,0.5667070207362814,2026-05-27 00:52:43.215034,2026-05-27 00:52:45.141991,0 days 00:00:01.926957,0.039745295970409183,10,200,48,0.34954811746468206,99,0.4255519601587184,0.46965745971697737,COMPLETE
24,0.5741464212794716,2026-05-27 00:52:45.142027,2026-05-27 00:52:47.042528,0 days 00:00:01.900501,0.05218462755640579,7,139,79,3.2095994161766714e-05,77,0.4341849860132893,0.4556420087087879,COMPLETE
25,0.5722955580972107,2026-05-27 00:52:47.042728,2026-05-27 00:52:52.449720,0 days 00:00:05.406992,0.017252244494009895,11,177,99,0.0011488732251263062,248,0.4325349253629426,0.4591460214384231,COMPLETE
26,0.5695165634169336,2026-05-27 00:52:52.449762,2026-05-27 00:52:54.470810,0 days 00:00:02.021048,0.033822033302402216,8,138,67,0.22423710760451596,113,0.43109038595185567,0.4643859050812199,COMPLETE
27,0.5786104662053534,2026-05-27 00:52:54.470844,2026-05-27 00:53:01.607846,0 days 00:00:07.137002,0.008807057226899269,9,161,91,0.01565103457473498,434,0.44071886632008206,0.44714422719236313,COMPLETE
28,0.5687643279090394,2026-05-27 00:53:01.608074,2026-05-27 00:53:05.415895,0 days 00:00:03.807821,0.025344918741361435,11,187,62,2.6459275009326433,161,0.42732786687627644,0.46579988275916007,COMPLETE
29,0.5741499821704579,2026-05-27 00:53:05.415932,2026-05-27 00:53:08.328865,0 days 00:00:02.912933,0.044508985857793816,12,100,52,0.004813502669389986,97,0.4339605342180106,0.4556352564051813,COMPLETE
30,0.5683021455283366,2026-05-27 00:53:08.328914,2026-05-27 00:53:10.615598,0 days 00:00:02.286684,0.034238413200551245,10,173,40,0.10804002943009938,102,0.42972662648545035,0.46666772047071947,COMPLETE
31,0.5707180352924063,2026-05-27 00:53:10.615677,2026-05-27 00:53:11.724863,0 days 00:00:01.109186,0.07866975746976831,7,150,58,0.04074565252366969,56,0.42826303887484535,0.4621236211929639,COMPLETE
