number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
30,0.8905357096765185,2026-06-01 00:48:26.966637,2026-06-01 00:48:28.810238,0 days 00:00:01.843601,0.8874958133168994,0.056886897926434976,5,7.512113601287281,0.7054185392644097,51,0.6420335633085971,0.729120376372234,COMPLETE
31,0.8829879031099032,2026-06-01 00:48:28.810305,2026-06-01 00:48:36.570908,0 days 00:00:07.760603,0.9021197095223915,0.007460512902200109,4,11.073850532732262,0.7426742287033337,391,0.6387231517474163,0.7336926414012824,COMPLETE
32,0.8822474014293391,2026-06-01 00:48:36.571056,2026-06-01 00:48:41.906556,0 days 00:00:05.335500,0.8517371759754582,0.006731257457334769,4,9.06532414677844,0.7139479787395826,424,0.6384492057745476,0.7341391217128844,COMPLETE
33,0.8839842305463194,2026-06-01 00:48:41.906619,2026-06-01 00:48:46.574913,0 days 00:00:04.668294,0.8403327122339761,0.006081809182114343,3,9.028254326384985,0.6697859453365163,522,0.6387595818176335,0.7330913216768846,COMPLETE
34,0.883226324308699,2026-06-01 00:48:46.574962,2026-06-01 00:48:51.484480,0 days 00:00:04.909518,0.8861189295528294,0.005846761737764162,4,10.010963305004967,0.765836702637975,486,0.6391319870223141,0.733548807286274,COMPLETE
35,0.8833980214446655,2026-06-01 00:48:51.484539,2026-06-01 00:48:54.557399,0 days 00:00:03.072860,0.9390403918144593,0.010448116639887072,4,9.858555189886362,0.6970743363231272,272,0.6388981385604634,0.7334452022370473,COMPLETE
36,0.8834529005713562,2026-06-01 00:48:54.557447,2026-06-01 00:48:58.205491,0 days 00:00:03.648044,0.7980327303999477,0.008095480274484458,3,10.45500213300368,0.6301663077029711,366,0.6403616914469508,0.7334120829668285,COMPLETE
37,0.8894195526189892,2026-06-01 00:48:58.205744,2026-06-01 00:49:01.971614,0 days 00:00:03.765870,0.843929195889368,0.00808927203820615,5,5.728127207539259,0.66783316450345,353,0.6434900291390755,0.7297989673105099,COMPLETE
38,0.9052200657719008,2026-06-01 00:49:01.971662,2026-06-01 00:49:08.903298,0 days 00:00:06.931636,0.7598707242006413,0.005837869565285514,7,7.349613956627583,0.7552033789375153,484,0.6575571586285438,0.7201134660462147,COMPLETE
39,0.8827595653705526,2026-06-01 00:49:08.903418,2026-06-01 00:49:12.759174,0 days 00:00:03.855756,0.8892334467662064,0.006935704958222193,4,8.651186926973088,0.7223462450457463,401,0.639373307470811,0.7338303559897716,COMPLETE
40,0.8849874617581389,2026-06-01 00:49:12.759220,2026-06-01 00:49:15.013715,0 days 00:00:02.254495,0.7998749373859123,0.011151622936507828,3,11.320125488643464,0.8061148914653056,262,0.6416890641692918,0.7324851500872024,COMPLETE
41,0.8820291034876699,2026-06-01 00:49:15.013832,2026-06-01 00:49:18.772718,0 days 00:00:03.758886,0.9064808227776996,0.006870770897130248,4,10.707663718043438,0.7174824242109343,428,0.6374057808310409,0.7342706714397738,COMPLETE
42,0.8816623218975093,2026-06-01 00:49:18.772781,2026-06-01 00:49:21.822223,0 days 00:00:03.049442,0.9190903140913618,0.008648360923076482,4,9.634045991974125,0.6812182281404534,345,0.6362681916404442,0.7344916264185343,COMPLETE
43,0.8863489767401799,2026-06-01 00:49:21.822271,2026-06-01 00:49:25.203081,0 days 00:00:03.380810,0.972000470540051,0.008922267183286163,5,10.403922352891394,0.6842067017586982,331,0.6399674537247234,0.7316613968377913,COMPLETE
44,0.8842360281233148,2026-06-01 00:49:25.203203,2026-06-01 00:49:27.257863,0 days 00:00:02.054660,0.9265398407682792,0.01279744337613777,4,9.630578512528402,0.6607063708855633,222,0.6406077433253982,0.7329392453662298,COMPLETE
45,0.8834198508181281,2026-06-01 00:49:27.257905,2026-06-01 00:49:30.447848,0 days 00:00:03.189943,0.9529002508952648,0.007831667277499907,3,11.346661472290679,0.6374442650328582,384,0.6397896217582907,0.7334320285690523,COMPLETE
46,0.8820209694799107,2026-06-01 00:49:30.447905,2026-06-01 00:49:33.633856,0 days 00:00:03.185951,0.8704799131696415,0.008542127611315925,4,10.224527240437075,0.6182741161222822,354,0.6363763698663089,0.734275572489967,COMPLETE
47,0.8992774226097836,2026-06-01 00:49:33.633903,2026-06-01 00:49:35.763323,0 days 00:00:02.129420,0.86843695981214,0.02586382453668565,6,8.591595222268266,0.6087841098064839,113,0.6502496512299546,0.7237762355895674,COMPLETE
48,0.9143496918052318,2026-06-01 00:49:35.763374,2026-06-01 00:49:47.623905,0 days 00:00:11.860531,0.9207330786713225,0.005364168249230676,8,6.211312226003397,0.6229244584073909,553,0.666159309419605,0.7144393873129704,COMPLETE
49,0.8907856089625624,2026-06-01 00:49:47.624328,2026-06-01 00:49:52.800545,0 days 00:00:05.176217,0.9413718266618926,0.0163796573779117,5,10.145232693924328,0.6489261708888363,178,0.6426758707022282,0.7289683282922821,COMPLETE
