object_id,label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
light_3,Light,XGBoost baseline,10.0,488,0.03884797408624371,0.092930793762207,0.3192258389288932,0.3976034620862764,-0.7481763839721692,0.6171404838562011,1.428411301229508,0.8852459016393442
light_3,Light,XGBoost baseline,20.0,503,0.12227629477753589,0.1840705871582031,0.37673731402752436,0.4495486770267731,-0.6636156082153348,0.7308395404155266,1.6902475904572565,0.9085487077534792
light_3,Light,XGBoost tuned,10.0,488,0.051709534688900834,0.11245822906494315,0.3299647862979678,0.40690057244941863,-0.7196483612060547,0.6549744606018065,1.4762233135245901,0.8975409836065574
light_3,Light,XGBoost tuned,20.0,503,0.14715203044531633,0.197031021118164,0.3838025391016402,0.4579789506640061,-0.6409563064575196,0.7328029650981438,2.0845423777335985,0.9582504970178927
light_4,Light,LGBM baseline,10.0,1887,-0.06540736035361702,-0.0315851630505044,0.4182962942929962,0.5413237257260181,-0.9943068656461073,0.785973419803118,,
light_4,Light,LGBM baseline,20.0,1847,-0.0765393813653073,-0.0603590659967885,0.45264035910014405,0.5729548735786714,-1.0188481924022605,0.8245059302439118,,
light_4,Light,LGBM tuned,10.0,1887,-0.04491176638693191,-0.0166473069430175,0.40036391566670665,0.5182016222317448,-0.9575413204640809,0.7784010480611353,,
light_4,Light,LGBM tuned,20.0,1847,-0.04761776676490264,-0.0283358618084008,0.43994606673773773,0.5617489332516181,-1.007998166493991,0.854249338353587,,
light_4,Light,XGBoost baseline,10.0,1887,-0.04846691845465579,-0.0193233489990234,0.4130437908512447,0.5327206899939648,-0.9657503128051748,0.8072257995605466,1.6258059273979861,0.8717541070482246
light_4,Light,XGBoost baseline,20.0,1847,-0.07697234905537799,-0.0562381744384765,0.45495428571267377,0.5752891709731017,-1.0494338989257812,0.8338754653930659,1.7843620720086626,0.8727666486193828
light_4,Light,XGBoost tuned,10.0,1887,-0.04031558762301993,-0.011142730712887,0.40322660375102465,0.5204707399581437,-0.9435312271118153,0.7770429611206051,1.6554429576046636,0.8791732909379968
light_4,Light,XGBoost tuned,20.0,1847,-0.04180569073546996,-0.0052356719970703,0.43548070331541383,0.5536467270684352,-1.0106954574584959,0.8302263259887691,2.0083609198700594,0.9117487818083378
machine_1,Machine,LGBM baseline,10.0,504,-0.038740900816270865,0.14241670251803562,0.8684247687552777,1.3879143738800204,-3.0091551687978244,1.9662879907163646,,
machine_1,Machine,LGBM baseline,20.0,532,-0.023539710752665317,0.17340088889276117,0.9836241849710999,1.4099250089670852,-2.65269950285659,1.848395365431697,,
machine_1,Machine,LGBM tuned,10.0,504,0.012320577877630558,0.20732776501280265,0.8830429960139226,1.3860354548451765,-3.0597526131492905,1.7444148166769324,,
machine_1,Machine,LGBM tuned,20.0,532,-0.10092579538194998,0.0694224399004799,0.9581708517853215,1.3990794674318245,-2.903127253483671,1.7036927148829104,,
machine_1,Machine,XGBoost baseline,10.0,504,-0.004428969516262542,0.19266319274902338,0.8754007324361263,1.3940778753551804,-2.969148826599124,1.7970816612243634,3.8806636805555557,0.8988095238095238
machine_1,Machine,XGBoost baseline,20.0,532,0.14307623335123387,0.3826637268066424,1.019935044998302,1.390027637521739,-2.5649883270263674,1.8488844871520993,4.584485520676692,0.8533834586466166
machine_1,Machine,XGBoost tuned,10.0,504,0.020693911419406404,0.2266855239868164,0.8902597994860064,1.3993466432769266,-3.06278581619263,1.905190849304199,3.9316404722222225,0.876984126984127
machine_1,Machine,XGBoost tuned,20.0,532,-0.028745350131321998,0.24281501770019526,0.9626356425750412,1.3651609084071257,-2.6950031280517575,1.648166561126709,5.2462099492481205,0.9285714285714286
machine_2,Machine,LGBM baseline,10.0,1765,0.028950085380594265,0.1363472112144528,0.4598135006844069,0.7433273544663663,-0.959565948288948,0.8086899240826269,,
machine_2,Machine,LGBM baseline,20.0,1731,0.029026561415830304,0.2210721033695897,0.600702977701107,0.8838991584081064,-1.382406016196681,0.9058401663626814,,
machine_2,Machine,LGBM tuned,10.0,1765,-0.00815268860797083,0.1045952036775155,0.4499987892643969,0.7444232708263756,-1.0181437923344916,0.7548543110517761,,
machine_2,Machine,LGBM tuned,20.0,1731,0.007527618922722665,0.1959702976886426,0.5934738716296678,0.8956936176815607,-1.406141544960052,0.9217087119289626,,
machine_2,Machine,XGBoost baseline,10.0,1765,0.014431196449625438,0.1291656494140625,0.4520689080936477,0.7381425831224068,-0.9721591949462862,0.7803672794277347,2.3039219920679885,0.8838526912181303
machine_2,Machine,XGBoost baseline,20.0,1731,0.023383109181715635,0.216373443603512,0.6094042658350908,0.8990582883796224,-1.3808641429882815,0.9302654278149411,2.9080868856152513,0.878682842287695
machine_2,Machine,XGBoost tuned,10.0,1765,-0.00685691723898669,0.103555679321289,0.4496967456023565,0.7450921910084481,-1.011505126953125,0.7677318572998046,2.4576541450424934,0.91671388101983
machine_2,Machine,XGBoost tuned,20.0,1731,0.007896672385224266,0.1949996948242187,0.5897288903655566,0.8944759586477593,-1.4238557815551793,0.9103889465332031,3.2927571265164643,0.9145002888503755
machine_3,Machine,LGBM baseline,10.0,1810,-0.06712713685011919,0.047871924906500454,0.6068832478686992,0.9282083358094301,-1.6910148367159554,1.0450634098600635,,
machine_3,Machine,LGBM baseline,20.0,1772,-0.15212939252061217,-0.01803152193421015,0.7091006249465742,1.058177135340087,-1.9676409475659495,1.1867438785932372,,
machine_3,Machine,LGBM tuned,10.0,1810,-0.08720063752467265,0.031673781584469596,0.5987249608326803,0.9278692823610478,-1.7119352538459114,1.0314673888905663,,
machine_3,Machine,LGBM tuned,20.0,1772,-0.14117844419504014,-0.00499438816248515,0.6934910404137414,1.0508888129259053,-1.8895326145657407,1.1689774709637162,,
